,Unnamed: 0,year,state,agency_name,fips_state_code,fips_county_code,fips_state_county_code,population,rec_legal,med_legal,narc_per_cap,synth_per_cap,other_per_cap,total_drug_per_cap,violent_per_cap,prop_per_cap,cpi,hhic,hhic_inf,educ,unemp,white,black,hisp,dem_gov,officer_emp,officer_per_cap,state_agency
0,0,2008,arkansas,rogers,5,7,5007,57205,0.0,0.0,1.922908837,0.174809894,12.76112228,14.85884101,9.264924395,118.1714885,215.303,58700,27.2639025,18.8162874,3.136892,85.1213979,1.1625108,14.560576,1,111,19.40389826,arkansasrogers
1,1,2008,arkansas,little rock,5,119,5119,187978,0.0,0.0,12.7142538,2.766281161,0.106395429,15.58693039,61.33696496,109.0021173,215.303,49000,22.75862389,22.3150294,5.7826091,58.1347985,34.4618283,3.9571368,1,122,6.490121184,arkansaslittle rock
2,2,2008,arkansas,north little rock,5,119,5119,59369,0.0,0.0,29.98197713,4.379389917,15.66474086,50.0261079,39.91982348,207.0103926,215.303,49000,22.75862389,22.3150294,5.7826091,58.1347985,34.4618283,3.9571368,1,122,20.549445,arkansasnorth little rock
3,3,2008,arkansas,fayetteville,5,143,5143,73999,0.0,0.0,2.432465304,0.0,17.56780497,20.00027027,14.05424398,61.08190651,215.303,46100,21.41168493,18.265249,5.1536993,85.5450476,3.418019,15.161164,1,148,20.00027027,arkansasfayetteville
4,4,2008,arizona,peoria,4,13,4013,151493,0.0,0.0,1.914279868,6.865003664,0.462067554,9.241351086,4.686685193,30.03439103,215.303,62800,29.16819552,19.2066601,4.9777966,82.7797202,4.172768,29.9570882,1,767,50.62940202,arizonapeoria
5,5,2008,arizona,scottsdale,4,13,4013,238905,0.0,0.0,5.734496976,6.78093803,4.85548649,17.3709215,8.204097863,45.49925703,215.303,62800,29.16819552,19.2066601,4.9777966,82.7797202,4.172768,29.9570882,1,767,32.10481154,arizonascottsdale
6,6,2008,arizona,yuma,4,27,4027,64740,0.0,0.0,1.699104109,7.105344455,3.243744208,12.04819277,3.861600247,7.568736484,215.303,40100,18.62491466,8.3022259,7.6769292,74.0383093,2.2320722,56.1025803,1,66,10.19462465,arizonayuma
7,7,2008,california,alameda,6,1,6001,125469,0.0,1.0,52.44323299,0.0,50.5304099,102.9736429,54.03725223,45.5092493,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,82.64989758,californiaalameda
8,8,2008,california,berkeley,6,1,6001,101170,0.0,1.0,28.26924978,0.0,14.8265296,43.09577938,27.08312741,35.97904517,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,102.5007413,californiaberkeley
9,9,2008,california,fremont,6,1,6001,200964,0.0,1.0,27.86568739,0.0,14.87828666,42.74397405,16.61989212,31.89626003,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,51.60128182,californiafremont
10,10,2008,california,hayward,6,1,6001,140984,0.0,1.0,34.11734665,0.0,27.73364353,61.85099018,50.50218465,70.71724451,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,73.55444589,californiahayward
11,11,2008,california,livermore,6,1,6001,80258,0.0,1.0,31.2741409,0.0,70.27336839,101.5475093,18.81432381,29.03137382,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,129.2083032,californialivermore
12,12,2008,california,oakland,6,1,6001,401587,0.0,1.0,58.79174376,0.0,24.27867436,83.07041812,30.77788873,31.176308,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,25.82254904,californiaoakland
13,13,2008,california,pleasanton,6,1,6001,66829,0.0,1.0,7.182510587,0.0,5.087611666,12.27012225,8.229960047,43.69360607,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,155.1721558,californiapleasanton
14,14,2008,california,san leandro,6,1,6001,77474,0.0,1.0,14.8436895,0.0,24.78250768,39.62619718,36.01208147,108.5525467,215.303,81600,37.90007571,28.2347065,5.9805646,48.1539107,12.2783939,20.1888719,0,1037,133.8513566,californiasan leandro
15,15,2008,california,butte,6,7,6007,86346,0.0,1.0,16.4454636,0.0,29.76397285,46.20943645,23.39425104,13.89757487,215.303,43300,20.11119213,17.0704167,11.313167,83.0206762,2.2009356,13.0234279,0,113,13.08688301,californiabutte
16,16,2008,california,contra costa,6,13,6013,158575,0.0,1.0,20.11666404,0.0,17.72032161,37.83698565,24.65710232,22.38688318,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,42.94497872,californiacontra costa
17,17,2008,california,antioch,6,13,6013,100702,0.0,1.0,45.48072531,0.0,27.20899287,72.68971818,58.48940438,68.81690532,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,67.6252706,californiaantioch
18,18,2008,california,brentwood,6,13,6013,52741,0.0,1.0,13.08280086,0.0,8.911473048,21.9942739,21.61506229,32.80180505,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,129.1215563,californiabrentwood
19,19,2008,california,pittsburg,6,13,6013,63227,0.0,1.0,26.72908726,0.0,24.0403625,50.76944976,24.67300362,47.60624417,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,107.7071504,californiapittsburg
20,20,2008,california,walnut creek,6,13,6013,63122,0.0,1.0,15.68391369,0.0,5.544817972,21.22873166,8.079591901,38.18003232,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,107.8863154,californiawalnut creek
21,21,2008,california,el dorado,6,17,6017,144018,0.0,1.0,9.582135566,0.0,15.34530406,24.92743963,19.92806455,17.70612007,215.303,75300,34.97396692,19.6523598,6.5019638,84.8505798,0.4961309,15.2615435,0,206,14.30376758,californiael dorado
22,22,2008,california,fresno,6,19,6019,189229,0.0,1.0,6.02444657,0.0,33.08161011,39.10605668,42.75243224,27.00431752,215.303,46070,21.39775108,11.9694348,9.2154063,59.0287549,5.0474636,48.6709487,0,899,47.50857427,californiafresno
23,23,2008,california,clovis,6,19,6019,93848,0.0,1.0,11.08174921,0.0,20.03239281,31.11414202,24.29460404,85.77700111,215.303,46070,21.39775108,11.9694348,9.2154063,59.0287549,5.0474636,48.6709487,0,899,95.79319751,californiaclovis
